2024-07-27 16:37:39 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/seasons/2023 HTTP/1.1" 200 None
2024-07-27 16:37:39 - database.sql_functions - INFO - insert - Inserted 1/1 records into leagues
2024-07-27 16:37:39 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events?seasontypes=1&dates=20220903-20230617&limit=1000 HTTP/1.1" 200 None
2024-07-27 16:37:39 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597558?lang=en&region=us HTTP/1.1" 200 1237
2024-07-27 16:37:39 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597557?lang=en&region=us HTTP/1.1" 200 1228
2024-07-27 16:37:39 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597559?lang=en&region=us HTTP/1.1" 200 1215
2024-07-27 16:37:39 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597560?lang=en&region=us HTTP/1.1" 200 1214
2024-07-27 16:37:40 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597561?lang=en&region=us HTTP/1.1" 200 1235
2024-07-27 16:37:40 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597562?lang=en&region=us HTTP/1.1" 200 1239
2024-07-27 16:37:40 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597563?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:40 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597567?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:40 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597564?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:41 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597565?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:41 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597566?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:41 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597570?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:41 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597568?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:41 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597569?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:42 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597577?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:42 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597571?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:42 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597572?lang=en&region=us HTTP/1.1" 200 None
